%1,%1
"Insert Variable...","Insert Variable..."
Subject,Subject
Unknown,Unknown
Updated,Updated
"Add New Template","Add New Template"
"Transactional Emails","Emails Transacionais"
"Logo Width","Largura da Logo"
"Logo Height","Altura da Logo"
"Header Template","Tema do Cabeçalho"
"Footer Template","Tema do Rodapé"
"Delete Template","Delete Template"
"Convert to Plain Text","Convert to Plain Text"
"Return Html Version","Return Html Version"
"Preview Template","Preview Template"
"Save Template","Save Template"
"Load Template","Load Template"
"Edit Email Template","Edit Email Template"
"New Email Template","New Email Template"
GLOBAL,GLOBAL
"Template Information","Template Information"
"Used Currently For","Used Currently For"
"Used as Default For","Used as Default For"
"Template Name","Template Name"
"Template Subject","Template Subject"
"Template Content","Template Content"
"Template Styles","Template Styles"
"Email Templates","Modelos de Email"
"Edit Template","Edit Template"
"Edit System Template","Edit System Template"
"New Template","New Template"
"New System Template","New System Template"
"This email template no longer exists.","This email template no longer exists."
"The email template has been saved.","The email template has been saved."
"The email template has been deleted.","The email template has been deleted."
"The email template is currently being used.","The email template is currently being used."
"An error occurred while deleting email template data. Please review log and try again.","An error occurred while deleting email template data. Please review log and try again."
"We can't find an email template to delete.","We can't find an email template to delete."
"An error occurred. The email template can not be opened for preview.","An error occurred. The email template can not be opened for preview."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","General Contact Name"
"General Contact Email","General Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"Store Contact Information","Store Contact Information"
"Template Variables","Template Variables"
"The template Name must not be empty.","The template Name must not be empty."
"Duplicate Of Template Name","Duplicate Of Template Name"
"Invalid transactional email code: %1","Invalid transactional email code: %1"
"Requested invalid store ""%1""","Requested invalid store ""%1"""
"Invalid sender data","Invalid sender data"
"Load default template","Load default template"
Template,Template
"Are you sure that you want to strip tags?","Are you sure that you want to strip tags?"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Failed to load template. See error log for details.","Failed to load template. See error log for details."
"Email Preview","Email Preview"
"No Templates Found","No Templates Found"
Added,Added
"Template Type","Template Type"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Só é necessário se a imagem for muito grande"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Só é necessário se a imagem for muito grande"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Baseado no tema escolhido"
"Thank you for your order from %store_name.","Obrigado por comprar conosco."
"Once your package ships we will send you a tracking number.","Quando enviarmos seu pedido você receberá um email com o número de rastreamento do mesmo."
"Once your package ships we will send an email with a link to track your order.","Quando enviarmos seu pedido você receberá um email com o número de rastreamento do mesmo."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Se tiver alguma dúvida basta entrar em contato no email <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ou nos ligar no telefone <a href=""tel:%store_phone"">%store_phone</a>"
"Your Order <span class=""no-link"">#%increment_id</span>","Seu Pedido <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Realizado em <span class=""no-link"">%created_at</span>"
"Billing Info","Cobrança"
"Shipping Info","Entrega"
"Your %store_name order confirmation","%store_name - Confirmação de pedido"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Você também pode acompanhar o status do pedido <a href=""%account_url"">fazendo login em sua conta</a>."
"There was recently a request to change the password for your account.","Recebemos um pedido de mudança de senha para sua conta."
"If you requested this change, set a new password here:","Se foi você mesmo quem solicitou clique no botão abaixo:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Se não foi você quem solicitou basta ignorar esse email e nada será alterado."
